,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-dizier,48.42,5.08,283.15,71,63,2.6,FR,1602699436
1,albany,42.6,-73.97,293.15,34,0,3.99,US,1602699190
2,eldorado,-23.79,-54.28,310.65,25,31,3.11,BR,1602699438
3,aurillac,44.92,2.45,280.37,93,90,2.1,FR,1602699440
4,biak,-0.91,122.88,298.76,79,99,2.43,ID,1602699441
5,cape town,-33.93,18.42,291.48,77,10,3.1,ZA,1602699006
6,bluff,-46.6,168.33,273.71,93,53,0.89,NZ,1602699444
7,balykshi,47.07,51.87,284.15,27,1,3,KZ,1602699445
8,mataura,-46.19,168.86,273.71,93,58,0.89,NZ,1602699446
9,punta arenas,-53.15,-70.92,283.15,53,75,8.2,CL,1602699447
10,turayf,31.67,38.66,296.15,43,23,4.1,SA,1602699448
12,puerto ayora,-0.74,-90.35,297.15,78,75,5.1,EC,1602699451
13,chunskiy,56.08,99.63,274.44,94,99,3.63,RU,1602699452
14,loikaw,19.67,97.21,293.13,83,67,1.33,MM,1602699453
15,vila franca do campo,37.72,-25.43,295.15,83,20,6.7,PT,1602699455
16,mahebourg,-20.41,57.7,296.15,83,20,3.1,MU,1602699456
17,bilibino,68.05,166.44,268.19,91,100,1.32,RU,1602699457
18,yinchuan,38.47,106.27,283.49,41,94,2.31,CN,1602699458
19,atuona,-9.8,-139.03,298.47,74,24,9.98,PF,1602699317
20,farafangana,-22.82,47.83,296.21,89,61,2.84,MG,1602699461
21,kapaa,22.08,-159.32,297.59,88,1,3.6,US,1602699462
22,xique-xique,-10.82,-42.73,305.92,29,0,2.78,BR,1602699463
23,asau,46.43,26.4,280.37,91,1,2.01,RO,1602699464
24,hirara,24.8,125.28,299.46,75,99,6.93,JP,1602699465
26,kingsville,27.52,-97.86,304.26,58,75,2.6,US,1602699468
27,salalah,17.02,54.09,300.15,88,20,1,OM,1602699469
28,bethel,41.37,-73.41,293.15,48,1,4.1,US,1602699471
29,goderich,43.75,-81.72,288.71,67,73,8.76,CA,1602699472
30,ostrovnoy,68.05,39.51,275.5,84,100,4.06,RU,1602699473
31,richards bay,-28.78,32.04,291.15,74,73,2.51,ZA,1602699474
32,hobart,-42.88,147.33,287.15,67,40,5.7,AU,1602699406
33,saldanha,-33.01,17.94,294.15,37,0,3.6,ZA,1602699477
34,iqaluit,63.75,-68.51,275.15,98,90,11.8,CA,1602699478
35,ushuaia,-54.8,-68.3,280.15,67,40,11.8,AR,1602699479
36,cabo san lucas,22.89,-109.91,303.71,74,20,5.1,MX,1602699254
37,provideniya,64.38,-173.3,272.38,93,89,2.39,RU,1602699482
38,mirnyy,62.54,113.96,267.15,73,75,4,RU,1602699483
39,alofi,-19.06,-169.92,292.15,77,96,2.6,NU,1602699318
41,kiama,-34.68,150.87,288.15,86,88,0.45,AU,1602699487
42,saskylakh,71.92,114.08,263.23,95,87,6.99,RU,1602699488
43,maun,-19.98,23.42,303.15,25,0,4.1,BW,1602699490
44,hermanus,-34.42,19.23,290.37,72,2,1.79,ZA,1602699491
46,iquique,-20.22,-70.14,292.15,63,35,6.7,CL,1602699494
47,chokurdakh,70.63,147.92,266.43,98,100,1.49,RU,1602699495
48,upernavik,72.79,-56.15,273.54,89,0,1.52,GL,1602699496
49,tocache,-8.18,-76.51,309.19,31,22,0.86,PE,1602699497
50,karla,59.37,24.93,283.71,81,40,4.1,EE,1602699498
51,jamestown,42.1,-79.24,290.37,41,1,5.7,US,1602699285
52,marawi,8,124.29,295.93,96,100,1.34,PH,1602699501
54,eyl,7.98,49.82,300.57,75,56,7.3,SO,1602699503
55,new norfolk,-42.78,147.06,284.26,65,100,1.12,AU,1602699504
56,ampanihy,-24.7,44.75,290.75,67,0,5.64,MG,1602699506
57,lebu,-37.62,-73.65,286.41,62,7,8.31,CL,1602699507
58,oranjemund,-28.55,16.43,293.32,48,0,4.43,NA,1602699508
59,stephenville,32.22,-98.2,303.71,42,1,5.1,US,1602699509
60,laguna,38.42,-121.42,301.15,34,1,4.6,US,1602699406
62,vao,-22.67,167.48,295.25,86,9,6.96,NC,1602699513
63,kharp,66.8,65.81,272.71,95,60,2.73,RU,1602699514
64,valentigney,47.46,6.83,279.82,80,20,4.6,FR,1602699516
65,yellowknife,62.46,-114.35,269.26,62,90,12.3,CA,1602699251
66,lompoc,34.64,-120.46,306.15,25,1,3.6,US,1602699466
68,santa rosa,14.31,121.11,298.15,94,90,5.7,PH,1602699521
69,busselton,-33.65,115.33,286.48,71,5,4.55,AU,1602699522
70,airai,-8.93,125.41,289.17,78,92,0.99,TL,1602699523
72,ambon,-3.7,128.18,301.48,92,100,3.84,ID,1602699526
73,bambous virieux,-20.34,57.76,297.04,83,20,3.1,MU,1602699527
74,matara,5.95,80.54,299.18,85,88,5.21,LK,1602699528
75,khatanga,71.97,102.5,269.09,98,100,3.84,RU,1602699529
76,bengkulu,-3.8,102.27,297.94,87,72,1.71,ID,1602699530
78,olafsvik,64.89,-23.71,281.68,89,100,12.37,IS,1602699533
79,citeureup,-6.49,106.88,300.93,90,83,2.12,ID,1602699534
80,nanortalik,60.14,-45.24,276.35,89,77,1.36,GL,1602699536
81,isfana,39.84,69.53,286.15,54,0,2,KG,1602699537
83,geraldton,-28.77,114.6,286.15,87,40,1.5,AU,1602699540
84,flinders,-34.58,150.86,288.15,85,89,0.45,AU,1602699541
85,ixtapa,20.7,-105.2,304.26,78,75,4.1,MX,1602699542
86,palestine,31.92,35.2,298.71,73,20,1.5,PS,1602699543
87,mar del plata,-38,-57.56,289.15,48,20,10.3,AR,1602699359
88,kaeo,-35.1,173.78,281.48,94,74,4.22,NZ,1602699546
89,bredasdorp,-34.53,20.04,287.15,82,0,1.5,ZA,1602699547
90,tuatapere,-46.13,167.68,273.71,93,27,0.89,NZ,1602699548
91,clyde river,70.47,-68.59,268.15,100,75,1.5,CA,1602699549
92,torbay,47.67,-52.73,285.37,66,75,10.3,CA,1602699551
93,port alfred,-33.59,26.89,289.51,79,0,7.54,ZA,1602699552
94,redmond,47.67,-122.12,287.04,81,96,2.34,US,1602699553
95,amahai,-3.33,128.92,301.48,92,100,0.61,ID,1602699554
96,rikitea,-23.12,-134.97,296.45,78,46,7.92,PF,1602699556
97,los llanos de aridane,28.66,-17.92,297.15,73,75,5.1,ES,1602699557
98,bandarbeyla,9.49,50.81,299.77,83,33,5.93,SO,1602699559
99,castro,-24.79,-50.01,302.13,43,41,1.91,BR,1602699305
100,guaranesia,-21.3,-46.8,302.96,38,73,1.45,BR,1602699561
101,balud,10.15,123.7,300.15,83,90,4.1,PH,1602699562
102,hilo,19.73,-155.09,299.82,56,1,4.6,US,1602699447
104,mora,11.05,14.14,302.15,66,20,2.1,CM,1602699566
105,nome,64.5,-165.41,266.15,79,20,1.24,US,1602699388
106,moussoro,13.64,16.49,310.22,13,6,4.33,TD,1602699569
108,nador,35.17,-2.93,294.15,68,20,8.7,MA,1602699571
110,kijang,35.24,129.21,285.15,66,5,2.1,KR,1602699574
111,tigil,57.8,158.67,277.87,93,100,1.73,RU,1602699575
112,cootehill,54.07,-7.08,284.82,79,14,0.89,IE,1602699576
113,mangrol,21.12,70.12,302.94,42,43,4.32,IN,1602699577
114,georgetown,5.41,100.34,301.15,78,20,1.5,MY,1602699579
115,komsomolskiy,40.43,71.72,284.15,71,0,4.1,UZ,1602699489
116,vizinga,61.07,50.1,274.07,92,23,1.67,RU,1602699581
117,butaritari,3.07,172.79,301.33,73,100,5.7,KI,1602699583
118,moron,-34.65,-58.62,300.37,42,13,4.6,AR,1602699337
119,san patricio,28.02,-97.52,305.37,55,40,2.1,US,1602699585
120,prince rupert,54.32,-130.32,282.15,87,90,3.1,CA,1602699586
121,darhan,49.49,105.92,273.21,83,25,1.33,MN,1602699587
122,hithadhoo,-0.6,73.08,301.74,74,54,5.63,MV,1602699589
123,buala,-8.14,159.59,298.73,80,52,0.09,SB,1602699590
124,kysyl-syr,63.9,122.76,265.24,92,41,3.48,RU,1602699591
125,zhengjiatun,43.51,123.51,275.45,71,3,4.03,CN,1602699592
